,symbol,description,asset_type,main_type
88,IJT,iShares S&P Small-Cap 600 Growth ETF,ETF,EQUITY
89,IJS,iShares S&P SmallCap 600 Value ETF,ETF,EQUITY
90,DVY,iShares Select Dividend ETF,ETF,EQUITY
91,SHV,iShares Short Treasury Bond ETF,ETF,EQUITY
92,IGSB,iShares Short-Term Corporate Bond ETF,ETF,EQUITY
93,SUB,iShares Short-Term National Muni Bond ETF,ETF,EQUITY
94,TIP,iShares TIPS Bond ETF,ETF,EQUITY
95,ICSH,iShares Ultra Short-Term Bond ETF,ETF,EQUITY
96,PFF,iShares Preferred and Income Securities ETF,ETF,EQUITY
97,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,ETF,EQUITY
98,BBEU,JPMorgan BetaBuilders Europe ETF,ETF,EQUITY
99,BBJP,JPMorgan BetaBuilders Japan ETF,ETF,EQUITY
100,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,ETF,EQUITY
101,JPHY,JPMorgan Research Enhanced High Yield ETF,ETF,EQUITY
102,JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,ETF,EQUITY
103,JPIN,JPMorgan Diversified Return International Equity ETF,ETF,EQUITY
104,JPUS,JPMorgan Diversified Return U.S. Equity ETF,ETF,EQUITY
105,JPME,JPMorgan Diversified Return U.S. Mid Cap Equity ETF,ETF,EQUITY
106,JPSE,JPMorgan Diversified Return U.S. Small Cap Equity ETF,ETF,EQUITY
107,JPGB,JPMorgan Global Bond Opportunities ETF,ETF,EQUITY
108,JPST,JPMorgan Ultra-Short Income ETF,ETF,EQUITY
109,JMST,JPMorgan Ultra-Short Municipal Income ETF,ETF,EQUITY
110,JDIV,JPMorgan U.S. Dividend ETF,ETF,EQUITY
111,JMIN,JPMorgan U.S. Minimum Volatility ETF,ETF,EQUITY
112,JMOM,JPMorgan U.S. Momentum Factor ETF,ETF,EQUITY
113,JQUA,JPMorgan U.S. Quality Factor ETF,ETF,EQUITY
114,JVAL,JPMorgan U.S. Value Factor ETF,ETF,EQUITY
115,JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,ETF,EQUITY
116,QUAL,iShares MSCI USA Quality Factor ETF,ETF,EQUITY
117,ZROZ,PIMCO 25  Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,ETF,EQUITY
118,MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,ETF,EQUITY
119,MFEM,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,ETF,EQUITY
120,MFDX,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor International Equity ETF,ETF,EQUITY
121,MFUS,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,ETF,EQUITY
122,PLW,Invesco 1-30 Laddered Treasury ETF,ETF,EQUITY
123,PGX,Invesco Preferred ETF,ETF,EQUITY
124,BKLN,Invesco Senior Loan ETF,ETF,EQUITY
125,SCHK,Schwab 1000 Index ETF,ETF,EQUITY
126,SCHE,Schwab Emerging Markets Equity ETF,ETF,EQUITY
127,FNDF,Schwab Fundamental International Large Company Index ETF,ETF,EQUITY
128,FNDC,Schwab Fundamental International Small Company Index ETF,ETF,EQUITY
129,FNDB,Schwab Fundamental U.S. Broad Market Index ETF,ETF,EQUITY
130,FNDX,Schwab Fundamental U.S. Large Company Index ETF,ETF,EQUITY
131,FNDA,Schwab Fundamental U.S. Small Company Index ETF,ETF,EQUITY
132,SCHR,Schwab Intermediate-Term U.S. Treasury ETF,ETF,EQUITY
133,SCHF,Schwab International Equity ETF,ETF,EQUITY
134,SCHO,Schwab Short-Term U.S. Treasury ETF,ETF,EQUITY
135,SCHP,Schwab U.S. TIPs ETF,ETF,EQUITY
136,SCHZ,Schwab US Aggregate Bond ETF,ETF,EQUITY
137,SCHB,Schwab U.S. Broad Market ETF,ETF,EQUITY
138,SCHX,Schwab U.S. Large-Cap ETF,ETF,EQUITY
139,SCHV,Schwab U.S. Large-Cap Value ETF,ETF,EQUITY
140,SCHM,Schwab U.S. Mid Cap ETF,ETF,EQUITY
141,SCHA,Schwab U.S. Small-Cap ETF,ETF,EQUITY
142,BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,ETF,EQUITY
143,EBND,SPDR Bloomberg Barclays Emerging Markets Local Bond ETF,ETF,EQUITY
144,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,ETF,EQUITY
145,BWZ,SPDR Bloomberg Barclays Short Term International Treasury Bond ETF,ETF,EQUITY
146,BWX,SPDR Bloomberg Barclays Intl Treasury Bd,ETF,EQUITY
147,SHM,SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond ETF,ETF,EQUITY
148,TOTL,SPDR DoubleLine Total Return Tactical ETF,ETF,EQUITY
149,SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,ETF,EQUITY
150,SPTL,SPDR Portfolio Long Term Treasury ETF,ETF,EQUITY
151,SPTS,SPDR Portfolio Short Term Treasury ETF,ETF,EQUITY
152,SPSM,SPDR Portfolio S&P 600 Small Cap ETF,ETF,EQUITY
153,SPLG,SPDR Portfolio S&P 500 ETF,ETF,EQUITY
154,SPTM,SPDR Portfolio S&P 1500 Composite Stock Market ETF,ETF,EQUITY
155,SPDW,SPDR Portfolio Developed World ex-US ETF,ETF,EQUITY
156,MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: M,ETF,EQUITY
157,MDYV,SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value Index--symbol: MGD,ETF,EQUITY
158,SPY,SPDR S&P 500,ETF,EQUITY
159,SPYV,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF,ETF,EQUITY
