symbol,description,asset_type,main_type,quantity,target
JMOM,JPMorgan U.S. Momentum Factor ETF,ETF,EQUITY,0,0
JQUA,JPMorgan U.S. Quality Factor ETF,ETF,EQUITY,0,0
JVAL,JPMorgan U.S. Value Factor ETF,ETF,EQUITY,0,0
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,ETF,EQUITY,0,0
QUAL,iShares MSCI USA Quality Factor ETF,ETF,EQUITY,0,0
ZROZ,PIMCO 25  Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,ETF,EQUITY,0,0
MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,ETF,EQUITY,0,0
MFEM,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,ETF,EQUITY,0,0
MFDX,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor International Equity ETF,ETF,EQUITY,0,0
MFUS,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,ETF,EQUITY,0,0
PLW,Invesco 1-30 Laddered Treasury ETF,ETF,EQUITY,0,0
PGX,Invesco Preferred ETF,ETF,EQUITY,0,0
BKLN,Invesco Senior Loan ETF,ETF,EQUITY,0,0
SCHK,Schwab 1000 Index ETF,ETF,EQUITY,0,0
SCHE,Schwab Emerging Markets Equity ETF,ETF,EQUITY,0,0
FNDF,Schwab Fundamental International Large Company Index ETF,ETF,EQUITY,0,0
FNDC,Schwab Fundamental International Small Company Index ETF,ETF,EQUITY,0,0
FNDB,Schwab Fundamental U.S. Broad Market Index ETF,ETF,EQUITY,0,0
FNDX,Schwab Fundamental U.S. Large Company Index ETF,ETF,EQUITY,0,0
FNDA,Schwab Fundamental U.S. Small Company Index ETF,ETF,EQUITY,0,0
SCHR,Schwab Intermediate-Term U.S. Treasury ETF,ETF,EQUITY,0,0
SCHF,Schwab International Equity ETF,ETF,EQUITY,0,0
SCHO,Schwab Short-Term U.S. Treasury ETF,ETF,EQUITY,0,0
SCHP,Schwab U.S. TIPs ETF,ETF,EQUITY,0,0
SCHZ,Schwab US Aggregate Bond ETF,ETF,EQUITY,0,0
SCHB,Schwab U.S. Broad Market ETF,ETF,EQUITY,0,0
SCHX,Schwab U.S. Large-Cap ETF,ETF,EQUITY,0,0
SCHV,Schwab U.S. Large-Cap Value ETF,ETF,EQUITY,0,0
SCHM,Schwab U.S. Mid Cap ETF,ETF,EQUITY,0,0
SCHA,Schwab U.S. Small-Cap ETF,ETF,EQUITY,0,0
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,ETF,EQUITY,0,0
EBND,SPDR Bloomberg Barclays Emerging Markets Local Bond ETF,ETF,EQUITY,0,0
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,ETF,EQUITY,0,0
BWZ,SPDR Bloomberg Barclays Short Term International Treasury Bond ETF,ETF,EQUITY,0,0
BWX,SPDR Bloomberg Barclays Intl Treasury Bd,ETF,EQUITY,0,0
SHM,SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond ETF,ETF,EQUITY,0,0
TOTL,SPDR DoubleLine Total Return Tactical ETF,ETF,EQUITY,0,0
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,ETF,EQUITY,0,0
SPTL,SPDR Portfolio Long Term Treasury ETF,ETF,EQUITY,0,0
SPTS,SPDR Portfolio Short Term Treasury ETF,ETF,EQUITY,0,0
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,ETF,EQUITY,0,0
SPLG,SPDR Portfolio S&P 500 ETF,ETF,EQUITY,0,0
SPTM,SPDR Portfolio S&P 1500 Composite Stock Market ETF,ETF,EQUITY,0,0
SPDW,SPDR Portfolio Developed World ex-US ETF,ETF,EQUITY,0,0
MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: M,ETF,EQUITY,0,0
MDYV,SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value Index--symbol: MGD,ETF,EQUITY,0,0
VBK,Vanguard Small-Cap Growth ETF,ETF,EQUITY,0,0
VBR,Vanguard Small-Cap Value ETF,ETF,EQUITY,0,0
BND,Vanguard Total Bond Market ETF,ETF,EQUITY,0,0
BNDX,Vanguard Total International Bond ETF,ETF,EQUITY,0,0
VXUS,Vanguard Total International Stock ETF,ETF,EQUITY,0,0
VTI,Vanguard Total Stock Market ETF,ETF,EQUITY,0,0
BNDW,Vanguard Total World Bond ETF,ETF,EQUITY,0,0
VT,Vanguard Total World Stock Index ETF,ETF,EQUITY,0,0
VFLQ,Vanguard U.S. Liquidity Factor ETF,ETF,EQUITY,0,0
VFMO,Vanguard U.S. Momentum Factor ETF,ETF,EQUITY,0,0
VFMF,Vanguard U.S. Multifactor ETF,ETF,EQUITY,0,0
VFQY,Vanguard U.S. Quality Factor ETF,ETF,EQUITY,0,0
VFVA,Vanguard U.S. Value Factor ETF,ETF,EQUITY,0,0
VTV,Vanguard Value ETF,ETF,EQUITY,0,0
RESE,WisdomTree Emerging Markets ESG Fund,ETF,EQUITY,0,0
DEM,WisdomTree Emerging Markets High Dividend Fund,ETF,EQUITY,0,0
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ETF,EQUITY,0,0
